order_id,order_date,category,region,payment_mode,unit_price,quantity,discount_pct,net_amount
1754,2023-01-01,Electronics,North,Debit Card,193.25,2,15,328.52
1782,2023-01-01,Electronics,East,Debit Card,226.61,2,0,453.22
1242,2023-01-01,Clothing,West,UPI,44.01,1,0,44.01
1115,2023-01-01,Groceries,West,Credit Card,15.05,4,0,60.2
2707,2023-01-02,Furniture,East,UPI,284.83,4,5,1082.35
1031,2023-01-02,Beauty,South,UPI,37.21,3,0,111.63
2208,2023-01-02,Toys,West,Credit Card,26.5,3,15,67.58
2218,2023-01-02,Toys,North,Debit Card,21.62,1,10,19.46
3163,2023-01-02,Clothing,South,Debit Card,51.3,1,5,48.74
1255,2023-01-02,Clothing,West,UPI,40.54,4,0,162.16
3228,2023-01-02,Electronics,West,UPI,199.64,2,15,339.39
2151,2023-01-03,Clothing,East,Debit Card,34.58,3,0,103.74
1531,2023-01-03,Groceries,South,Debit Card,18.82,5,0,94.1
3399,2023-01-03,Clothing,East,UPI,41.7,4,10,150.12
1249,2023-01-03,Groceries,West,Debit Card,14.81,5,15,62.94
3001,2023-01-04,Electronics,East,Credit Card,319.0,5,5,1515.25
2153,2023-01-04,Beauty,West,Credit Card,35.62,3,0,106.86
1909,2023-01-04,Electronics,West,Credit Card,207.03,5,10,931.64
3693,2023-01-04,Electronics,East,Credit Card,185.08,2,0,370.16
1652,2023-01-04,Toys,South,Credit Card,30.16,2,5,57.3
2047,2023-01-06,Electronics,West,UPI,251.33,1,10,226.2
3267,2023-01-06,Groceries,West,Debit Card,11.02,5,0,55.1
2038,2023-01-07,Furniture,West,UPI,278.27,5,0,1391.35
1192,2023-01-07,Beauty,North,UPI,21.53,2,0,43.06
1639,2023-01-08,Electronics,North,Credit Card,206.36,1,15,175.41
1698,2023-01-08,Clothing,East,Debit Card,45.72,5,5,217.17
2677,2023-01-08,Groceries,North,Credit Card,12.52,2,10,22.54
2674,2023-01-08,Groceries,East,UPI,11.87,1,0,11.87
2365,2023-01-08,Electronics,East,Credit Card,189.22,1,0,189.22
2605,2023-01-08,Furniture,West,Debit Card,290.91,3,20,698.18
2267,2023-01-08,Clothing,North,Debit Card,29.78,1,15,25.31
3391,2023-01-08,Groceries,South,Credit Card,19.34,3,20,46.42
2698,2023-01-08,Groceries,South,Credit Card,12.55,5,0,62.75
2053,2023-01-09,Clothing,North,UPI,41.85,5,0,209.25
2288,2023-01-09,Electronics,South,Debit Card,216.92,2,0,433.84
1963,2023-01-09,Clothing,North,UPI,45.31,2,0,90.62
2950,2023-01-09,Furniture,North,Cash,293.5,2,10,528.3
3625,2023-01-09,Electronics,South,Credit Card,187.94,4,10,676.58
3312,2023-01-10,Beauty,East,Credit Card,30.01,2,0,60.02
2859,2023-01-10,Toys,South,Cash,20.74,5,10,93.33
1861,2023-01-11,Furniture,North,Credit Card,268.71,5,0,1343.55
3892,2023-01-11,Groceries,South,UPI,14.88,5,0,74.4
2408,2023-01-11,Electronics,North,UPI,319.22,5,5,1516.3
1130,2023-01-11,Beauty,West,Debit Card,28.22,2,20,45.15
2174,2023-01-11,Groceries,South,Cash,11.2,3,10,30.24
1594,2023-01-11,Groceries,West,Credit Card,14.81,2,5,28.14
2587,2023-01-12,Groceries,South,Debit Card,11.3,2,0,22.6
2031,2023-01-12,Electronics,South,UPI,251.16,4,0,1004.64
1271,2023-01-12,Clothing,West,Cash,39.4,5,0,197.0
2371,2023-01-12,Clothing,West,Credit Card,44.53,4,10,160.31
3934,2023-01-12,Groceries,East,Credit Card,13.75,1,5,13.06
2927,2023-01-12,Groceries,South,UPI,10.89,4,5,41.38
1219,2023-01-12,Clothing,North,Debit Card,42.78,3,20,102.67
1734,2023-01-12,Beauty,West,Credit Card,30.33,1,0,30.33
2205,2023-01-13,Electronics,North,Cash,213.28,5,15,906.44
3596,2023-01-13,Electronics,North,Credit Card,247.34,4,10,890.42
2459,2023-01-13,Electronics,South,Credit Card,243.13,1,20,194.5
2711,2023-01-13,Toys,South,UPI,21.29,5,10,95.8
2002,2023-01-13,Clothing,West,Credit Card,51.1,4,10,183.96
1117,2023-01-13,Furniture,West,Credit Card,332.67,1,0,332.67
1016,2023-01-15,Electronics,West,Credit Card,179.71,1,0,179.71
2689,2023-01-15,Groceries,South,Credit Card,16.52,3,0,49.56
2961,2023-01-15,Electronics,West,UPI,282.28,4,15,959.75
3922,2023-01-15,Clothing,West,UPI,31.14,3,0,93.42
3932,2023-01-16,Toys,West,UPI,22.41,1,10,20.17
3697,2023-01-17,Electronics,South,Debit Card,180.26,4,0,721.04
3816,2023-01-17,Furniture,East,Debit Card,319.17,5,15,1356.47
3345,2023-01-17,Electronics,East,UPI,319.89,5,5,1519.48
1166,2023-01-17,Beauty,East,Debit Card,22.56,3,10,60.91
2812,2023-01-17,Groceries,East,Cash,10.85,5,10,48.82
3194,2023-01-17,Clothing,South,Credit Card,39.29,4,10,141.44
1996,2023-01-17,Beauty,West,Credit Card,24.88,4,0,99.52
3525,2023-01-17,Furniture,South,Credit Card,277.23,5,10,1247.54
3393,2023-01-18,Groceries,South,Credit Card,11.0,1,0,11.0
1982,2023-01-18,Clothing,South,Cash,44.85,1,5,42.61
2815,2023-01-18,Electronics,West,Debit Card,206.59,3,10,557.79
3168,2023-01-19,Furniture,West,Cash,296.81,1,20,237.45
2383,2023-01-19,Clothing,South,UPI,31.06,5,0,155.3
1880,2023-01-19,Groceries,East,Credit Card,11.18,3,20,26.83
1313,2023-01-19,Electronics,South,UPI,270.44,5,0,1352.2
1841,2023-01-19,Beauty,North,UPI,24.31,5,10,109.4
2771,2023-01-19,Electronics,North,Debit Card,295.15,1,20,236.12
1321,2023-01-20,Groceries,East,Debit Card,16.28,5,5,77.33
3184,2023-01-20,Electronics,West,UPI,194.2,2,0,388.4
3343,2023-01-20,Groceries,North,Credit Card,16.38,5,0,81.9
1183,2023-01-20,Beauty,North,Credit Card,30.27,2,10,54.49
2015,2023-01-21,Beauty,West,Credit Card,24.32,3,10,65.66
3132,2023-01-21,Clothing,North,Credit Card,51.62,3,10,139.37
3493,2023-01-21,Clothing,North,UPI,35.98,3,15,91.75
2616,2023-01-21,Groceries,South,Cash,11.12,4,0,44.48
1198,2023-01-22,Groceries,East,UPI,19.41,5,5,92.2
3130,2023-01-22,Clothing,East,Credit Card,32.76,2,20,52.42
1785,2023-01-22,Electronics,West,UPI,276.03,3,5,786.69
1218,2023-01-22,Groceries,East,Credit Card,11.98,3,10,32.35
2688,2023-01-23,Groceries,East,UPI,14.66,5,0,73.3
1123,2023-01-23,Groceries,North,Credit Card,18.6,2,5,35.34
3993,2023-01-23,Toys,South,Cash,19.16,2,0,38.32
2275,2023-01-23,Beauty,South,UPI,22.01,2,5,41.82
3156,2023-01-23,Groceries,South,Debit Card,15.18,3,0,45.54
3654,2023-01-24,Electronics,East,Credit Card,238.58,5,15,1013.97
2112,2023-01-24,Toys,East,UPI,27.01,2,0,54.02
2034,2023-01-24,Clothing,West,Credit Card,50.92,4,0,203.68
1459,2023-01-25,Toys,North,Credit Card,32.22,4,0,128.88
1849,2023-01-25,Electronics,South,Debit Card,238.74,5,10,1074.33
2020,2023-01-25,Clothing,West,Debit Card,34.47,2,5,65.49
1517,2023-01-25,Electronics,North,Credit Card,262.44,1,5,249.32
1424,2023-01-25,Groceries,East,Credit Card,17.28,5,15,73.44
2269,2023-01-25,Furniture,East,UPI,241.8,5,0,1209.0
1258,2023-01-26,Clothing,South,Credit Card,36.66,2,20,58.66
2424,2023-01-26,Groceries,West,Debit Card,17.53,5,10,78.89
3705,2023-01-26,Electronics,South,UPI,319.68,4,10,1150.85
3178,2023-01-26,Clothing,West,Credit Card,28.78,4,5,109.36
3720,2023-01-26,Furniture,South,Credit Card,381.12,2,20,609.79
2897,2023-01-26,Clothing,West,Credit Card,47.16,2,0,94.32
3569,2023-01-27,Clothing,East,Debit Card,49.19,3,0,147.57
2526,2023-01-27,Groceries,West,Debit Card,15.86,2,5,30.13
1899,2023-01-27,Furniture,East,Credit Card,312.46,4,5,1187.35
1157,2023-01-27,Beauty,South,UPI,25.51,5,10,114.8
2476,2023-01-27,Electronics,South,Cash,181.28,5,5,861.08
3410,2023-01-27,Beauty,East,Debit Card,28.4,5,0,142.0
1751,2023-01-28,Groceries,North,Credit Card,14.24,3,0,42.72
3276,2023-01-28,Electronics,North,Credit Card,258.99,1,5,246.04
3354,2023-01-28,Groceries,West,Debit Card,13.04,3,10,35.21
3342,2023-01-29,Groceries,South,Credit Card,12.21,4,0,48.84
2669,2023-01-29,Beauty,North,UPI,37.16,2,5,70.6
1508,2023-01-29,Clothing,East,Debit Card,51.53,2,5,97.91
3277,2023-01-29,Furniture,South,Credit Card,222.7,3,0,668.1
3842,2023-01-30,Clothing,North,Debit Card,38.43,5,5,182.54
1635,2023-01-30,Beauty,West,Credit Card,24.11,3,10,65.1
2437,2023-01-30,Electronics,West,Debit Card,269.6,3,0,808.8
3847,2023-01-30,Groceries,North,UPI,17.08,4,10,61.49
3058,2023-01-31,Beauty,West,Credit Card,27.14,1,15,23.07
2579,2023-01-31,Beauty,North,Cash,22.37,2,0,44.74
3738,2023-01-31,Beauty,South,Credit Card,31.78,3,15,81.04
3172,2023-01-31,Beauty,East,Debit Card,32.37,3,0,97.11
1444,2023-01-31,Furniture,North,UPI,295.01,1,10,265.51
3828,2023-02-01,Groceries,East,Credit Card,17.72,2,20,28.35
2911,2023-02-01,Clothing,North,Debit Card,51.66,4,0,206.64
1968,2023-02-01,Furniture,East,Credit Card,258.91,3,0,776.73
2770,2023-02-01,Clothing,North,Cash,28.58,5,15,121.46
2943,2023-02-01,Toys,West,Debit Card,28.41,2,0,56.82
3482,2023-02-01,Furniture,North,Credit Card,296.72,3,0,890.16
2273,2023-02-02,Groceries,South,Debit Card,11.81,2,20,18.9
3117,2023-02-03,Electronics,East,Credit Card,300.39,2,0,600.78
1156,2023-02-03,Groceries,North,Debit Card,16.98,5,0,84.9
2075,2023-02-03,Electronics,South,Debit Card,223.04,1,10,200.74
2512,2023-02-03,Beauty,West,Debit Card,21.73,1,0,21.73
1108,2023-02-03,Groceries,West,Debit Card,11.65,1,0,11.65
1222,2023-02-04,Clothing,South,Credit Card,34.18,4,0,136.72
1406,2023-02-04,Beauty,West,Cash,30.82,5,0,154.1
2592,2023-02-04,Clothing,North,Debit Card,43.22,1,0,43.22
1007,2023-02-04,Beauty,West,Credit Card,34.6,2,5,65.74
3514,2023-02-05,Electronics,South,Credit Card,233.94,1,5,222.24
2811,2023-02-05,Toys,West,Debit Card,24.41,4,0,97.64
3018,2023-02-05,Electronics,West,Debit Card,214.3,1,0,214.3
2880,2023-02-05,Beauty,East,Credit Card,32.46,5,0,162.3
1879,2023-02-06,Beauty,South,UPI,24.16,4,0,96.64
2385,2023-02-06,Toys,West,UPI,31.84,2,0,63.68
3961,2023-02-06,Toys,East,UPI,20.96,1,10,18.86
